Region,Model,Metric,PointEstimate,CI_lower,CI_upper,n_valid_boot
Africa,Proposed SFTNN,F1,0.7272727272727273,0.3071428571428572,1.0,2000
Africa,Proposed SFTNN,ROC-AUC,0.8240740740740741,0.5498684210526317,1.0,1999
Africa,Proposed SFTNN,PR-AUC,0.7368908382066277,0.33333333333333337,1.0,1999
East Asia,Standard MLP (baseline),Accuracy,0.6680327868852459,0.606454918032787,0.7254098360655737,2000
East Asia,Standard MLP (baseline),Precision,0.6153846153846154,0.5195984162895928,0.7037131519274376,2000
East Asia,Standard MLP (baseline),Recall,0.6095238095238096,0.5145561719833565,0.7033068783068783,2000
East Asia,Standard MLP (baseline),F1,0.6124401913875598,0.5268281794425087,0.6820330332917007,2000
East Asia,Standard MLP (baseline),ROC-AUC,0.7205549845837615,0.6522383385964807,0.7833942048050958,2000
East Asia,Standard MLP (baseline),PR-AUC,0.7058687596550184,0.616396330629955,0.7852694968576374,2000
East Asia,XGBoost (baseline),Accuracy,0.6844262295081968,0.6270491803278688,0.7418032786885246,2000
East Asia,XGBoost (baseline),Precision,0.6666666666666666,0.5625,0.7647058823529411,2000
East Asia,XGBoost (baseline),Recall,0.5333333333333333,0.4374848300970874,0.625,2000
East Asia,XGBoost (baseline),F1,0.5925925925925926,0.5028540202966433,0.6666666666666666,2000
East Asia,XGBoost (baseline),ROC-AUC,0.7311750599520384,0.6645320594031531,0.793449933031287,2000
East Asia,XGBoost (baseline),PR-AUC,0.7150617928068365,0.629909117517849,0.7912885652132666,2000
East Asia,TabNet (baseline),Accuracy,0.6598360655737705,0.6024590163934426,0.7172131147540983,2000
East Asia,TabNet (baseline),Precision,0.6145833333333334,0.5203979591836735,0.7096774193548387,2000
East Asia,TabNet (baseline),Recall,0.5619047619047619,0.46534653465346537,0.6555645161290322,2000
East Asia,TabNet (baseline),F1,0.5870646766169154,0.5,0.6634626777251185,2000
East Asia,TabNet (baseline),ROC-AUC,0.711819116135663,0.6424739461258251,0.7775522676425306,2000
East Asia,TabNet (baseline),PR-AUC,0.7140962224536463,0.6278824609033439,0.7897326889771543,2000
East Asia,Proposed SFTNN,Accuracy,0.6598360655737705,0.5983606557377049,0.7172131147540983,2000
East Asia,Proposed SFTNN,Precision,0.6122448979591837,0.5145631067961165,0.704093228200371,2000
East Asia,Proposed SFTNN,Recall,0.5714285714285714,0.47572815533980584,0.663463785046729,2000
East Asia,Proposed SFTNN,F1,0.5911330049261084,0.5074165688411874,0.6666666666666666,2000
East Asia,Proposed SFTNN,ROC-AUC,0.7094552929085303,0.6388868751726041,0.7760442708333333,2000
East Asia,Proposed SFTNN,PR-AUC,0.7036451107475172,0.613713185200111,0.7806082340747519,2000
Europe,Standard MLP (baseline),Accuracy,0.7575496117342536,0.7325280414150129,0.7817083692838654,2000
Europe,Standard MLP (baseline),Precision,0.717391304347826,0.6723187196601942,0.7615767782969886,2000
Europe,Standard MLP (baseline),Recall,0.6442516268980477,0.5991005389205093,0.6885602512637526,2000
Europe,Standard MLP (baseline),F1,0.6788571428571428,0.6418362399993844,0.7129850603669788,2000
Europe,Standard MLP (baseline),ROC-AUC,0.8226121736103774,0.7948620263312339,0.8481874335727906,2000
Europe,Standard MLP (baseline),PR-AUC,0.7879136407538948,0.7518429725258006,0.8225811806314995,2000
Europe,XGBoost (baseline),Accuracy,0.7825711820534944,0.7584124245038827,0.8058671268334772,2000
Europe,XGBoost (baseline),Precision,0.8100890207715133,0.7687568666227202,0.8520819151350124,2000
Europe,XGBoost (baseline),Recall,0.5921908893709328,0.547045016738671,0.6380537153498596,2000
Europe,XGBoost (baseline),F1,0.6842105263157895,0.6469832257842183,0.7207982182123611,2000
Europe,XGBoost (baseline),ROC-AUC,0.835933469659206,0.8100273159366844,0.8603493113788944,2000
Europe,XGBoost (baseline),PR-AUC,0.8116924796196092,0.7769368728662078,0.8439795109717687,2000
Europe,TabNet (baseline),Accuracy,0.7618636755823986,0.7368421052631579,0.7877480586712683,2000
Europe,TabNet (baseline),Precision,0.7250608272506083,0.6835741148413136,0.7676697316517583,2000
Europe,TabNet (baseline),Recall,0.6464208242950108,0.6034013333089305,0.6928398752514348,2000
