Sr. No.,Date(dd/mm/yyyy),Startup Name,Industry/ Vertical,Sub-Vertical,City / Location,Investors’ Name,InvestmentType,Amount (in USD),Year,Source_File,Date,Industry/Vertical,City,Investor Name,Investment Type,Amount(in USD),Invest-mentType
8.0,,GoFro,,Online travel booking platform,,,,,2017,Sep_2017.csv,06/09/2017,Consumer Internet,New Delhi,"HIS Co. Ltd, MakeMyTrip",Private Equity,"10,000,000",
9.0,,OncoStem,,Medical Diagnostic Solutions,,,,,2017,Sep_2017.csv,06/09/2017,Healthcare,Bangalore,"Sequoia Capital India, Artiman Ventures",Private Equity,"6,000,000",
10.0,,Power2SME,,Buying Club for Small Businesses,,,,,2017,Sep_2017.csv,06/09/2017,eCommerce,Gurgaon,"International Finance Corporation (IFC), Inventus Capital Partners, Accel Partners, Kalaari Capital, and Nandan Nilekani,",Private Equity,"26,000,000",
11.0,,Credit Vidya,,Online Credit scoring platform,,,,,2017,Sep_2017.csv,07/09/2017,Consumer Internet,Mumbai,Matrix Partners,Private Equity,"5,000,000",
12.0,,Tails Life,,Pet care portal & mobile app,,,,,2017,Sep_2017.csv,07/09/2017,Consumer Internet,Bangalore,V Balakrishnan.,Private Equity,,
13.0,,OYO Rooms,,Branded budget hotels marketplace,,,,,2017,Sep_2017.csv,07/09/2017,Consumer Internet,Gurgaon,"SoftBank Group, Sequoia Capital India, Lightspeed Venture Partners, Greenoaks Capital, Hero Enterprise",Private Equity,"25,000,0000",
14.0,,Early Salary,,Online Unsecured Lending platform,,,,,2017,Sep_2017.csv,07/09/2017,Consumer Internet,Pune,IFMR Capital,Debt Funding,"780,000",
15.0,,MamaEarth,,online babycare products marketplace,,,,,2017,Sep_2017.csv,07/09/2017,eCommerce,Gurgaon,Fireside Ventures,Seed Funding,,
16.0,,Seniority,,Ecommerce portal for senior citizens,,,,,2017,Sep_2017.csv,07/09/2017,eCommerce,Pune,RPG Enterprises,Private Equity,"1,000,000",
17.0,,AYE Finance,,Micro Lending Platform,,,,,2017,Sep_2017.csv,08/09/2017,Consumer Internet,New Delhi,"Triodos Investment Management,",Debt Funding,"6,900,000",
18.0,,Farmizen,,Agre-Tech Mobile app,,,,,2017,Sep_2017.csv,08/09/2017,Technology,Bangalore,"Venture Highway, Alok Mittal, Mohit Agarwal, Anuj Gupta,",Seed Funding,,
19.0,,Ecom Express,,Logistics Solutions provider,,,,,2017,Sep_2017.csv,11/09/2017,Logistics,New Delhi,Warburg Pincus,Private Equity,"30,000,000",
20.0,,Call Health,,Healthcare Services Aggregator,,,,,2017,Sep_2017.csv,11/09/2017,Consumer Internet,Hyderabad,"Sachin Tendulkar, P.V SIndhu, Pullela Gopichand",Private Equity,"6,200,000",
21.0,,Sattviko,,Health Food etailer,,,,,2017,Sep_2017.csv,12/09/2017,eCommerce,New Delhi,"Raman Roy, Arvind Uppal, Sonu Bhasin, G Ravishankar",Seed Funding,,
22.0,,3HCare,,Healthcare services portal,,,,,2017,Sep_2017.csv,12/09/2017,Consumer Internet,New Delhi,Undisclosed Investor,Seed Funding,"100,000",
23.0,,Tonbo Imaging,,Imaging Technology for Armed Forces,,,,,2017,Sep_2017.csv,12/09/2017,Technology,Bangalore,"WRV Capital, Qualcomm Ventures, Edelweiss Private Equity, Artiman Ventures",Private Equity,"17,000,000",
24.0,,Get My Parking,,Smart Parking Enabler,,,,,2017,Sep_2017.csv,12/09/2017,Consumer Internet,New Delhi,"IAN Fund, Beenext, Indian Angel Network",Private Equity,"3,000,000",
25.0,,WittyFeed,,Content marketing platform,,,,,2017,Sep_2017.csv,13/09/2017,Technology,Indore,"Anand Chandrasekaran, Apurva Chamaria, Ritesh Malik, Ashish Toshniwal, Ajeet Khurana",Seed Funding,,
26.0,,Glowroad,,women focussed customer-to-customer reseller network,,,,,2017,Sep_2017.csv,13/09/2017,Consumer Internet,Bangalore,"Accel Partners,",Private Equity,"2,000,000",
27.0,,OYO Rooms,,budget hotel marketplace,,,,,2017,Sep_2017.csv,13/09/2017,Consumer Internet,Gurgaon,China Lodging Group,Private Equity,"10,000,000",
28.0,,Unacademy,,Online learning platform,,,,,2017,Sep_2017.csv,13/09/2017,Consumer Internet,Mumbai,"Sequoia Capital India, SAIF Partners, Nexus Venture Partners and Blume Ventures,",Private Equity,"11,500,000",
29.0,,Heterogenous,,Telecom & IoT platform,,,,,2017,Sep_2017.csv,13/09/2017,Technology,Chennai,"Chennai Angels, Keiretsu Forum & Others",Seed Funding,"780,000",
30.0,,Gurukul,,co-working space provider,,,,,2017,Sep_2017.csv,14/09/2017,Consumer Internet,New Delhi,"Rohit Nanda, Rajit Nanda, Smarak Bhuyan, Sashwat Brahma,",Seed Funding,,
31.0,,Smaaash,,Virtual Reality gaming and entertainment platform,,,,,2017,Sep_2017.csv,14/09/2017,Technology,Mumbai,ECL Finance,Private Equity,"44,000,000",
32.0,,WheelStreet,,Bike Rental Platform,,,,,2017,Sep_2017.csv,14/09/2017,Consumer Portal,Bangalore,Y Combinator,Seed Funding,"120,000",
33.0,,Xprep,,Online Tutoring Platform,,,,,2017,Sep_2017.csv,14/09/2017,Consumer Internet,New Delhi,"Rising Stars, Manish Amin, Pallav Pandey, Chavi Jafa",Private Equity,,
34.0,,The Moms Co,,Pregnancy & Baby Care product etailer,,,,,2017,Sep_2017.csv,18/09/2017,eCommerce,Gurgaon,"DSG Consumer Partners, Saama Capital",Private Equity,"1,000,000",
35.0,,Noticeboard,,"mobile-first communication platform for on-field staff,",,,,,2017,Sep_2017.csv,19/09/2017,Technology,Bangalore,"Shamik Sharma, Aprameya Radhakrishna",Seed Funding,,
36.0,,High Radius,,Integrated receivables software solutions,,,,,2017,Sep_2017.csv,19/09/2017,Technology,Hyderabad,Susquehanna Growth Equity LLC,Private Equity,"50,000,000",
37.0,,HWell24 Plus,,Technology-Empowered Healthcare Solutions,,,,,2017,Sep_2017.csv,20/09/2017,Healthcare,Mumbai,Undisclosed Investors,Seed Funding,,
38.0,,SaveBC,,financial services firm,,,,,2017,Sep_2017.csv,21/09/2017,Finance,Gaya,Incofin Investment Management.,Private Equity,"6,000,000",
39.0,,Gaming Monk,,E-sports platform,,,,,2017,Sep_2017.csv,21/09/2017,Consumer Internet,New Delhi,AdvantEdge,Private Equity,,
40.0,,91SpringBoard,,Co-working spaces,,,,,2017,Sep_2017.csv,21/09/2017,Consumer Internet,New Delhi,"Sandway Investment Ltd, Pearl Brook Holdings, Silo Holdings and Al Nour",Private Equity,,
41.0,,Homergize,,Home Furnishing & Building material marketplace,,,,,2017,Sep_2017.csv,21/09/2017,eCommerce,Bangalore,LG Chandrasekhar,Private Equity,"1,000,000",
42.0,,Yatra.com,,Online Travel Agency,,,,,2017,Sep_2017.csv,22/09/2017,eCommerce,Gurgaon,InnoVen Capital India,Debt Funding,"15,400,000",
43.0,,Ace Turtle,,Omni-channel web commerce solutions provider,,,,,2017,Sep_2017.csv,22/09/2017,Technology,Bangalore,InnoVen Capital,Private Equity,,
44.0,,Vogo,,Scooter Rental Platform,,,,,2017,Sep_2017.csv,25/09/2017,Consumer Internet,Bangalore,AV Thomas Group,Seed Funding,,
45.0,,Synup,,SME Marketing Management Solution,,,,,2017,Sep_2017.csv,25/09/2017,Technology,Bangalore,"Vertex Ventures, Prime Venture Partners.",Private Equity,"6,000,000",
46.0,,Tinmen,,Food Delivery platform,,,,,2017,Sep_2017.csv,25/09/2017,Consumer Internet,Hyderabad,Zomato Media Pvt. Ltd,Private Equity,,
47.0,,Cropin,,Crop Technology Solutions,,,,,2017,Sep_2017.csv,25/09/2017,Technology,Bangalore,Beenext,Private Equity,,
48.0,,Rapido,,Bike Aggregator Mobile App,,,,,2017,Sep_2017.csv,25/09/2017,Consumer Internet,Bangalore,Battery Road Digital Holdings LLC,Seed Funding,"422,000",
49.0,,Sportobuddy,,Sports & Sport related equipment portal,,,,,2017,Sep_2017.csv,25/09/2017,Consumer Internet,Mumbai,Mehul Shah,Seed Funding,"150,000",
50.0,,Credifiable,,Online consumer lending platform,,,,,2017,Sep_2017.csv,26/09/2017,Consumer Internet,Bangalore,Kae Capital,Private Equity,,
51.0,,Inclov,,Matchmaking app for the differently abled,,,,,2017,Sep_2017.csv,26/09/2017,Consumer Internet,Gurgaon,"Rajan Anandan, Jamil Khatri, Ravi Iyer, Raghav Bahl",Seed Funding,,
52.0,,Multibhashi,,Language learning Mobile App,,,,,2017,Sep_2017.csv,26/09/2017,Consumer Internet,Bangalore,"Aniruddha Malpani, Startup Oasis",Seed Funding,,
53.0,,Transerve,,Geospatial Technology-based SaaS solutions,,,,,2017,Sep_2017.csv,27/09/2017,Technology,Mumbai,"IL&FS Investment Managers, Omidyar Network.",Private Equity,"1,600,000",
54.0,,Fashalot,,O2O fashion discovery platform,,,,,2017,Sep_2017.csv,27/09/2017,Consumer Internet,Gurgaon,"Capillary Technologies, Whiteboard Capital, YourNest Angel Fund, Rajul Garg",Private Equity,,
55.0,,Pitstop,,Car repair and Servicing Platform,,,,,2017,Sep_2017.csv,27/09/2017,Consumer Internet,Bangalore,"Blume Ventures, Goldbell Group, Anurag Srivastava, Shailesh Rao, Amiya Pathak, Rajesh Yohanan and Rahul Garg",Private Equity,"1,000,000",
56.0,,GoChoppers,,Luxury Helicopter Tourism Services portal,,,,,2017,Sep_2017.csv,27/09/2017,Consumer Internet,Gurgaon,"Rivergate Capital,",Seed Funding,,
57.0,,MyUpchar,,Local Language Health Information portal,,,,,2017,Sep_2017.csv,27/09/2017,Consumer Internet,New Delhi,LetsVenture,Seed Funding,"300,000",
58.0,,Aadyah,,Defense Tech & Aerospace startup,,,,,2017,Sep_2017.csv,28/09/2017,Technology,Bangalore,Keiretsu Forum,Private Equity,"1,000,000",
