Region,Baseline,Metric,P(SFTNN_better),P(SFTNN_worse),P(tie),n_paired_boot
North America,XGBoost (baseline),F1,0.8365,0.1635,-2.7755575615628914e-17,2000
North America,XGBoost (baseline),ROC-AUC,0.0715,0.9285,0.0,2000
North America,XGBoost (baseline),PR-AUC,0.0055,0.9945,0.0,2000
North America,TabNet (baseline),Accuracy,0.6325,0.3315,0.03600000000000003,2000
North America,TabNet (baseline),Precision,0.278,0.722,0.0,2000
North America,TabNet (baseline),Recall,0.944,0.048,0.008000000000000049,2000
North America,TabNet (baseline),F1,0.7795,0.2205,2.7755575615628914e-17,2000
North America,TabNet (baseline),ROC-AUC,0.8815,0.1185,5.551115123125783e-17,2000
North America,TabNet (baseline),PR-AUC,0.235,0.765,0.0,2000
South Asia,Standard MLP (baseline),Accuracy,0.881,0.042,0.07699999999999999,2000
South Asia,Standard MLP (baseline),Precision,0.841,0.124,0.03500000000000003,2000
South Asia,Standard MLP (baseline),Recall,0.868,0.0,0.132,2000
South Asia,Standard MLP (baseline),F1,0.943,0.026,0.031000000000000052,2000
South Asia,Standard MLP (baseline),ROC-AUC,1.0,0.0,0.0,2000
South Asia,Standard MLP (baseline),PR-AUC,1.0,0.0,0.0,2000
South Asia,XGBoost (baseline),Accuracy,0.0555,0.894,0.05049999999999999,2000
South Asia,XGBoost (baseline),Precision,0.005,0.994,0.0010000000000000009,2000
South Asia,XGBoost (baseline),Recall,0.8735,0.0,0.12649999999999995,2000
South Asia,XGBoost (baseline),F1,0.3265,0.666,0.007499999999999951,2000
South Asia,XGBoost (baseline),ROC-AUC,0.41,0.588,0.002000000000000113,2000
South Asia,XGBoost (baseline),PR-AUC,0.4655,0.5345,0.0,2000
South Asia,TabNet (baseline),Accuracy,0.448,0.408,0.14400000000000007,2000
South Asia,TabNet (baseline),Precision,0.2015,0.789,0.009499999999999953,2000
South Asia,TabNet (baseline),Recall,0.9495,0.0,0.05049999999999999,2000
South Asia,TabNet (baseline),F1,0.8065,0.1845,0.009000000000000008,2000
South Asia,TabNet (baseline),ROC-AUC,0.992,0.008,6.938893903907228e-18,2000
South Asia,TabNet (baseline),PR-AUC,0.9945,0.0055,-5.0306980803327406e-17,2000
Southeast Asia,Standard MLP (baseline),Accuracy,0.0095,0.9685,0.02200000000000002,2000
Southeast Asia,Standard MLP (baseline),Precision,0.005,0.987,0.008000000000000007,2000
Southeast Asia,Standard MLP (baseline),Recall,0.096,0.779,0.125,2000
Southeast Asia,Standard MLP (baseline),F1,0.0375,0.9525,0.010000000000000009,2000
Southeast Asia,Standard MLP (baseline),ROC-AUC,0.23,0.7625,0.007500000000000062,2000
Southeast Asia,Standard MLP (baseline),PR-AUC,0.1935,0.8065,0.0,2000
Southeast Asia,XGBoost (baseline),Accuracy,0.073,0.8675,0.0595,2000
Southeast Asia,XGBoost (baseline),Precision,0.0125,0.985,0.0025000000000000577,2000
Southeast Asia,XGBoost (baseline),Recall,0.587,0.238,0.17500000000000004,2000
Southeast Asia,XGBoost (baseline),F1,0.279,0.717,0.0040000000000000036,2000
Southeast Asia,XGBoost (baseline),ROC-AUC,0.115,0.8835,0.0015000000000000568,2000
Southeast Asia,XGBoost (baseline),PR-AUC,0.135,0.865,0.0,2000
Southeast Asia,TabNet (baseline),Accuracy,0.026,0.9365,0.03749999999999998,2000
Southeast Asia,TabNet (baseline),Precision,0.029,0.962,0.009000000000000008,2000
Southeast Asia,TabNet (baseline),Recall,0.1885,0.6125,0.19899999999999995,2000
Southeast Asia,TabNet (baseline),F1,0.074,0.916,0.010000000000000009,2000
Southeast Asia,TabNet (baseline),ROC-AUC,0.159,0.8375,0.0034999999999999476,2000
Southeast Asia,TabNet (baseline),PR-AUC,0.1455,0.8545,0.0,2000
