startup_name,city,industry,sub_vertical,investors,investment_type,amount_usd,amount_flag_check_currency,funding_date,founding_date,founders,country,region_group,year_folder,source_file
UrbanKisaan,Hyderabad,Food & Beverages,A modern farms close to where your home is. Creating positive change at every step from seed to store ensuring quality and traceability.,BASF Venture Capital GmbH,,,False,,2017.0,"Srinivas Chaganti, Vihari Kanukollu, Sairam Reddy",India,South Asia,2021,Jul_2021.csv
Aquaconnect,Chennai,Fishery,Aquaconnect is a global full-stack aquaculture technology venture that provides data-driven farm advisory and marketplace solutions to fish and shrimp farmers,"Rebright Partners, Flourish Ventures",Pre-Series A,4000000.0,False,,2017.0,Rajamanohar,India,South Asia,2021,Jul_2021.csv
Vah Vah!,Bangalore,EdTech,A mission to educate India and make its young and dynamic population job ready.,Sequoia Surge,,1800000.0,False,,2020.0,"Shailesh Daxini, Akash Senapaty, Muthukaleeshwaran Subbiah",India,South Asia,2021,Jul_2021.csv
LetsDressUp,Gurugram,Apparel & Fashion,Building India's version of Stitch Fix,"Titan Capital, Sequoia Capital",Pre-Series A,300000.0,False,,2019.0,Aditya B,India,South Asia,2021,Jul_2021.csv
BHyve,Mumbai,Human Resources,A Future of Work Platform for diffusing Employee Tacit Knowledge and enabling Peer Learning Networks,"Omkar Pandharkame, Ketaki Ogale",Unknown,,False,,2020.0,Backed by 100x.VC,India,South Asia,2021,Jul_2021.csv
Indi Energy,Roorkee,Renewables & Environment,"Indi Energy is an energy storage startup involved in R&D of next generation battery technologies, with superior performance than current counterparts.",Mumbai Angels Network,Seed Funding,,False,,2019.0,Dr. ASIT SAHOO,India,South Asia,2021,Jul_2021.csv
The Ayurveda Co,Gurugram,Consumer Goods,The Ayurveda Co. represents things that are all Ayurvedic at heart and are suited for the contemporary landscape.,"GetVantage, Velocity, Shiprocket Capital",,,False,,2021.0,"Param Bhargava, Shreedha Singh",India,South Asia,2021,Jul_2021.csv
Pratilipi,Bangalore,Online storytelling,"Pratilipi is the largest Indian language self-publishing platform with over 350,000 authors and more than 28,000,000 unique monthly readers.","Krafton Inc, Omidyar",,48000000.0,False,,2015.0,Ranjeet Pratap Singh,India,South Asia,2021,Jul_2021.csv
Ati Motors,Bangalore,Automotive,Autonomous industrial vehicle maker,"Blume Ventures, Exfinity Venture Partners",Pre-Series A,35000000.0,False,,2017.0,"Saurabh Chandra, Saad Nasser",India,South Asia,2021,Jul_2021.csv
peAR,Mumbai,Deeptech,An AR / VR tech based Start-up in Mumbai.,Inflection Point Ventures,Pre-Series A,300000.0,False,,2018.0,"Dharmin Vora, Dhruvesh Mehta, Parth Vora",India,South Asia,2021,Jul_2021.csv
Gourmet Garden,Bangalore,Farming,"100% contamination free, pesticide free naturoponically grown vegetables.","Beyond Next Ventures, M Venture Partners",,3000000.0,False,,2019.0,Arjun Balaji,India,South Asia,2021,Jul_2021.csv
The Sleep Company,Mumbai,Consumer Goods,Patent Pending sleep technology developed by actual Rocket Scientists and sleep experts after years of research.,Fireside Ventures,Pre-Series A,1000000.0,False,,2019.0,,India,South Asia,2021,Jul_2021.csv
TyrePlex,New Delhi,B2B E-commerce,Tyreplex is digitizing the tyre dealers in India.,AdvantEdge Founders,Seed Funding,,False,,2020.0,"Puneet Bhaskar, Rupendra Pratap Singh",India,South Asia,2021,Jul_2021.csv
ION Energy,Mumbai,Automotive,Advanced Electronics & Software Supplier for Electric Vehicles & Battery Energy Storage,,Pre-Series A,3600000.0,False,,2016.0,Akhil Aryan,India,South Asia,2021,Jul_2021.csv
Digit Insurance,Bangalore,Insuretech,"Digit becomes the first Unicorn of 2021, valued at $1.9B.","Faering Capital, Sequoia Capital India, IIFL Alternate Asset Managers",,200000000.0,False,,2016.0,Kamesh Goyal,India,South Asia,2021,Jul_2021.csv
Fraazo,Mumbai,Food & Beverages,FRAAZO is Mumbai's favourite App for Fresh Vegetables and Fruits coming straight from the Farm to your Doorstep within 18 Hours.,"Sixth Sense Ventures, NABVENTURES",Series A,11000000.0,False,,2020.0,"Atul Kumar, Aashish Krishnatre",India,South Asia,2021,Jul_2021.csv
Licious,Bangalore,Food & Beverages,"Licious is a consumer food company, focussed at delighting the world with an unmatched range of meat & meat products.","Temasek, Multiples PE",Series F,192000000.0,False,,2015.0,"Abhay Hanjura, Vivek Gupta",India,South Asia,2021,Jul_2021.csv
WinZO,New Delhi,Gaming,WinZO is the largest social gaming and entertainment platform in India.,Griffin Gaming Partners,Series C,65000000.0,False,,2018.0,Paavan Nanda,India,South Asia,2021,Jul_2021.csv
Furlenco,Bangalore,Consumer Goods,Furlenco is a different furniture company.,Zinnia Global,,100000000.0,False,,2012.0,Ajith Mohan Karimpana,India,South Asia,2021,Jul_2021.csv
Skylark Drones,Bangalore,Aviation,"Enterprise drone solutions that help plan, build, and sustain the world we live in.","InfoEdge Ventures, IAN Fund",Pre-Series A,3000000.0,False,,2014.0,Mughilan Thiru Ramasamy,India,South Asia,2021,Jul_2021.csv
Leegality,Gurugram,IT company,"The market standard for eSign, eStamp and Document Workflow in India. Eliminating paper from paperwork since 2016","IIFL, Mumbai Angels",Pre-Series A,,False,,2016.0,Shivam Singla,India,South Asia,2021,Jul_2021.csv
Arcatron Mobility,Pune,Healthcare,Mission is to advance global standards of assisted living and make it dignified and safer.,Klub,,,False,,2015.0,Ganesh Sonawane,India,South Asia,2021,Jul_2021.csv
Twid,Bangalore,FinTech,"TWID is shaping the future of Digital Currencies, delivering new-age fintech solutions","BEENEXT, Sequoia’s Surge",,2500000.0,False,,2020.0,"Amit Sharma, Amit Koshal, Rishi Batra",India,South Asia,2021,Jul_2021.csv
